Exercise Name,Equipment,Variation,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Synergist_Muscles,Stabilizer_Muscles,Antagonist_Muscles,Dynamic_Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,parent_id
Incline Shoulder Raise,Cable,No,Auxiliary,Isolated,Push,Sit on seat and grasp stirrups to each side. Push stirrups out at 30º to 45º until arms are straight and parallel to one another.,Raise shoulders toward stirrups as high as possible. Lower shoulders down and back and repeat.,"Serratus Anterior,","Pectoralis Major, Clavicular, ","Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,Chest,2,"Anterior Deltoid, Lateral Deltoid",
Incline Shoulder Raise,Dumbbell,No,Auxiliary,Isolated,Push,Sit down on incline bench with dumbbells resting on lower thigh. Kick weights to shoulders and lean back. Position dumbbells above shoulders with elbows extended.,Raise shoulders toward dumbbells as high as possible. Lower shoulders to bench and repeat.,"Serratus Anterior,","Pectoralis Major, Clavicular, ","Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,Chest,2,"Anterior Deltoid, Lateral Deltoid",
Incline Shoulder Raise,Lever (plate loaded),No,Auxiliary,Isolated,Push,Sit on lever chest press machine with shoulders aligned with lever grips. Grasp lever grips with shoulder width overhand grip. Push weight up so arms are straight.,Raise shoulders toward lever grips as far as possible. Lower shoulders to bench and repeat.,"Serratus Anterior,","Pectoralis Major, Clavicular, ","Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,Chest,2,"Anterior Deltoid, Lateral Deltoid",
Incline Shoulder Raise,Lever (selectorized),No,Auxiliary,Isolated,Push,Sit on lever chest press machine with shoulders aligned with lever grips. Grasp lever grips with shoulder width overhand grip. Push weight up so arms are straight.,Raise shoulders toward lever grips as far as possible. Lower shoulders to bench and repeat.,"Serratus Anterior,","Pectoralis Major, Clavicular, ","Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,Chest,2,"Anterior Deltoid, Lateral Deltoid",
Incline Shoulder Raise,Smith,No,Auxiliary,Isolated,Push,Lie supine on incline bench with shoulders under bar. Grasp bar with shoulder width overhand grip. Extend elbows. Disengage bar by rotating bar back.,Raise shoulders toward bar as high as possible. Lower shoulders to bench and repeat.,"Serratus Anterior,","Pectoralis Major, Clavicular, ","Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,Chest,2,"Anterior Deltoid, Lateral Deltoid",
Push-up Plus,Body Weight,No,Auxiliary,Isolated,Push,Lie supine on incline bench with shoulders under bar. Grasp bar with shoulder width overhand grip. Extend elbows. Disengage bar by rotating bar back.,Raise shoulders toward bar as high as possible. Lower shoulders to bench and repeat.,"Serratus Anterior,","Pectoralis Major, Clavicular, ","Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,Chest,3,"Triceps Brachii, Anterior Deltoid, Serratus Anterior",
Bent Knee Good-morning,Barbell,No,Auxiliary,Isolated,Pull,Position barbell on back of shoulders and grasp bar to sides.,"Keeping back straight, bend hips to lower torso forward until parallel to floor. Bend knees slightly during descent. Raise torso until hips are extended. Repeat.","Gluteus Maximus,","Adductor Magnus, Hamstrings, ","Erector Spinae, Quadriceps, ","Rectus Abdominis, Obliques, ",,Hips,3,"Erector Spinae, Hamstrings",
Deadlifts,Barbell,No,Basic,Compound,Pull,With feet flat beneath bar squat down and grasp bar with shoulder width or slightly wider overhand or mixed grip.,"Lift bar by extending hips and knees to full extension. Pull shoulders back at top of lift if rounded. Return weights to floor by bending hips back while allowing knees to bend forward, keeping back straight and knees pointed same direction as feet. Repeat.","Gluteus Maximus,","Quadriceps, Adductor Magnus, Hamstrings (top half), Soleus, ","Erector Spinae, Trapezius, Middle, Trapezius, Upper, Levator Scapulae, Rhomboids, ","Rectus Abdominis, Obliques, ","Hamstrings (bottom half), Gastrocnemius, ",Hips,5,"Erector Spinae, Trapezius, Quadriceps",
"Deadlifts:  Stiff-leg Deadlift

Straight-back

",Barbell,Yes,Basic or Auxiliary,Compound,Pull,"Stand with shoulder width or narrower stance on 5"" to 8"" (13-20 cm) platform with feet flat beneath bar. Bend over and grasp barbell with shoulder width or slightly wider overhand or mixed grip.","With knees bent, lift bar by extending at hips until standing upright. Pull shoulders back at top of lift if rounded. Extend knees at top if desired. Lower bar to top of feet by bending hips. Bend knees slightly during descent and keep waist straight, flexing only slightly at bottom. Repeat.","Gluteus Maximus,","Erector Spinae, Adductor Magnus, Hamstrings, ","Quadriceps, Trapezius, Middle, Rhomboids, Latissimus Dorsi, Trapezius, Upper, Levator Scapulae, Trapezius, Lower, ","Rectus Abdominis, Obliques, ",,Hips,4,"Erector Spinae, Hamstrings",336
Hip Thrust,Barbell,No,Basic or Auxiliary,Compound,Pull,"Stand with shoulder width or narrower stance on 5"" to 8"" (13-20 cm) platform with feet flat beneath bar. Bend over and grasp barbell with shoulder width or slightly wider overhand or mixed grip.","With knees bent, lift bar by extending at hips until standing upright. Pull shoulders back at top of lift if rounded. Extend knees at top if desired. Lower bar to top of feet by bending hips. Bend knees slightly during descent and keep waist straight, flexing only slightly at bottom. Repeat.","Gluteus Maximus,","Erector Spinae, Adductor Magnus, Hamstrings, ","Quadriceps, Trapezius, Middle, Rhomboids, Latissimus Dorsi, Trapezius, Upper, Levator Scapulae, Trapezius, Lower, ","Rectus Abdominis, Obliques, ",,Hips,3,"Gluteus Maximus, Hamstrings",
Lunge,Barbell,No,Auxiliary,Compound,Push,"Cleanbar from floor or dismount bar from rack. From rack with barbell upper chest height, position bar on back of shoulders and grasp barbell to sides.","Lunge forward with first leg. Land on heel, then forefoot. Lower body by flexing knee and hip of front leg until knee of rear leg is almost in contact with floor. Return to original standing position by forcibly extending hip and knee of forward leg. Repeat by alternating lunge with opposite leg.","Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ","Erector Spinae, Tibialis Anterior, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",,"Hamstrings, Gastrocnemius, ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",
Lunge:  Rear Lunge,Barbell,Yes,Auxiliary,Compound,Push,"From rack with barbell upper chest height, position bar on back of shoulders and grasp barbell to sides. Dismount bar from rack.",Step back with one leg while bending supporting leg. Plant forefoot far back on floor. Lower body by flexing knee and hip of supporting leg until knee of rear leg is almost in contact with floor. Return to original standing position by extending hip and knee of forward supporting leg and return rear leg next to supporting leg. Repeat movement with opposite legs alternating between sides.,"Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ","Erector Spinae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",,"Hamstrings, Gastrocnemius, ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",339
Single Leg Split Squat,Barbell,No,Auxiliary,Compound,Push,Stand facing away from bench. Position bar on back of shoulders and grasp barbell to sides. Extend leg back and place top of foot on bench.,Squat down by flexing knee and hip of front leg until knee of rear leg is almost in contact with floor. Return to original standing position by extending hip and knee of forward leg. Repeat. Continue with opposite leg.,"Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ","Erector Spinae, Gluteus Medius, Gluteus Minimus, ",,"Hamstrings, Gastrocnemius, ",Hips,4,"Quadriceps, Gluteus Maximus, Hamstrings",
Single Leg Split Squat:  Single Leg Squat,Barbell,Yes,Auxiliary,Compound,Push,Stand with arms extended out in front holding barbell. Balance on one leg with opposite leg extended forward off of ground.,Squat down as far as possible while keeping leg elevated off of floor. Keep   supporting knee pointed same direction as foot supporting. Raise body back up to original position until knee and hip of supporting leg is straight. Return and repeat. Continue with opposite leg.,"Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, Erector Spinae (see notes), ","Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, Rectus Abdominis, Iliopsoas, Tensor Fasciae Latae, Pectineus, Sartorius, Quadriceps, Deltoid, Anterior, Pectoralis Major, Clavicular, Deltoid, Lateral, Trapezius, Upper, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, Levator Scapulae, Wrist Extensors, ",,"Hamstrings, Gastrocnemius, ",Hips,4,"Quadriceps, Gluteus Maximus, Hamstrings",341
Single Leg Split Squat:  Split Squat,Barbell,Yes,Auxiliary,Compound,Push,Position barbell on back of shoulders and grasp barbell to sides. Stand with feet far apart; one foot forward and other foot behind.,Squat down by flexing knee and hip of front leg. Allow heel of rear foot to rise up while knee of rear leg bends slightly until it almost makes contact with floor. Return to original standing position by extending hip and knee of forward leg. Repeat. Continue with opposite leg.,"Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ","Erector Spinae, Gluteus Medius, Gluteus Minimus, ",,"Hamstrings, Gastrocnemius, ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",341
Squat,Barbell,No,Basic,Compound,Push,"From rack with barbell at upper chest height, position bar low on back of shoulders. Grasp barbell to sides. Dismount bar from rack and stand with wide stance.",Squat down by flexing knee and hip of front leg. Allow heel of rear foot to rise up while knee of rear leg bends slightly until it almost makes contact with floor. Return to original standing position by extending hip and knee of forward leg. Repeat. Continue with opposite leg.,"Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ","Erector Spinae, ","Rectus Abdominis, Obliques, ","Hamstrings, Gastrocnemius, ",Hips,4,"Quadriceps, Gluteus Maximus, Adductors",
Squat:  Front Squat,Barbell,Yes,Auxiliary,Compound,Push,"From rack with barbell upper chest height, position bar in front of shoulders. Cross arms and place hands on top of barbell with upper arms parallel to floor. Dismount bar from rack.","Squat down by bending hips back while allowing knees to bend forward, keeping back straight and knees pointed same direction as feet. Descend until thighs are just past parallel. Extend knees and hips until legs are straight. Return and repeat.","Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ","Erector Spinae, Deltoid, Anterior, Deltoid, Lateral, Supraspinatus, Pectoralis Major, Clavicular, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Trapezius, Lower, Serratus Anterior, ","Rectus Abdominis, Obliques, ",,Hips,4,"Quadriceps, Gluteus Maximus, Adductors",344
Squat:  Full Squat,Barbell,Yes,Basic,Compound,Push,"From rack with barbell upper chest height, position barbell on back of shoulders and grasp bar to sides. Dismount bar from rack.","Squat down by bending hips back while allowing knees to bend forward, keeping back straight and knees pointed same direction as feet. Descend until knees and hips are fully bent. Extend knees and hips until legs are straight. Return and repeat.","Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ","Erector Spinae, ","Rectus Abdominis, Obliques, ","Hamstrings, Gastrocnemius, ",Hips,5,"Quadriceps, Gluteus Maximus, Adductors",344
Squat:  Safety Squat,Barbell,Yes,Basic,Compound,Push,Standing facing safety barbell on rack upper chest height. Position head in yoke with padded bar around shoulders. Hands can be placed on ends of yoke (as shown) or on safety bar out to sides. Dismount bar from rack and step back.,"Squat down by bending hips back while allowing knees to bend slightly forward, keeping back straight and knees pointed same direction as feet. Descend until thighs are just past parallel to floor. Stand by extending hips and knees until legs are straight. Repeat.","Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ","Erector Spinae, ","Rectus Abdominis, Obliques, ","Hamstrings, Gastrocnemius, ",Hips,4,"Quadriceps, Gluteus Maximus, Adductors",344
Step-up,Barbell,No,Basic or Auxiliary,Compound,Push,Stand facing side of bench. Position bar on back of shoulders and grasp barbell to sides.,Place foot of first leg on bench. Stand on bench by extending hip and knee of first leg and place foot of second leg on bench. Step down with second leg by flexing hip and knee of first leg. Return to original standing position by placing foot of first leg to floor. Repeat first step with opposite leg alternating first steps between legs.,"Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, Gastrocnemius (Second Leg), ","Erector Spinae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ","Rectus Abdominis, Obliques, ","Hamstrings, Gastrocnemius (First Leg), ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",
Glute Kickback,Cable,No,Basic or Auxiliary,Compound,Push,Stand facing side of bench. Position bar on back of shoulders and grasp barbell to sides.,Place foot of first leg on bench. Stand on bench by extending hip and knee of first leg and place foot of second leg on bench. Step down with second leg by flexing hip and knee of first leg. Return to original standing position by placing foot of first leg to floor. Repeat first step with opposite leg alternating first steps between legs.,"Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, Gastrocnemius (Second Leg), ","Erector Spinae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ","Rectus Abdominis, Obliques, ","Hamstrings, Gastrocnemius (First Leg), ",Hips,2,"Gluteus Maximus, Hamstrings",
Rear Lunge,Cable,No,Auxiliary,Compound,Push,Stand between two very low pulleys with shoulder width or narrower stance. Squat down and grasp stirrup attachments to each side. Stand upright with arms straight down to sides.,Step back with one leg while bending supporting leg. Plant forefoot far back on floor. Lower body by flexing knee and hip of supporting leg until knee of rear leg is almost in contact with floor. Return to original standing position by extending hip and knee of forward supporting leg and return rear leg next to supporting leg. Repeat movement with opposite legs alternating between sides.,"Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ","Erector Spinae, Trapezius, Upper, Trapezius, Lower, Levator Scapulae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",,"Hamstrings, Gastrocnemius, ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",
Split Squat,Cable,No,Auxiliary,Compound,Push,"Facing low pulley, kneel to attach cable belt or dip belt around waist. Place hand(s) on ballet bar or machine (not on guide rod!) for balance. Stand away from pulley with one leg forward and opposite leg to rear.",Squat down by flexing knee and hip of front leg. Allow heel of rear foot to rise up while knee of rear leg bends slightly until it almost makes contact with floor. Return to original straddle position by extending hip and knee of forward leg. Repeat. Continue with legs in opposite position.,"Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ",,,"Hamstrings, Gastrocnemius, ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",
Split Squat:  Two Arms,Cable,Yes,Auxiliary,Compound,Push,Stand between two very low cable pulleys. Grasp stirrup attachments with each hand. Place one leg far forward and opposite leg far back to rear.,Squat down by flexing knee and hip of front leg. Allow heel of rear foot to rise up while knee of rear leg bends slightly until it almost makes contact with floor. Return to original straddle position by extending hip and knee of forward leg. Repeat. Continue with legs in opposite position.,"Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ","Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Erector Spinae, Obliques, ",,"Hamstrings, Gastrocnemius, ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",351
Squat,Cable,No,Basic or Auxiliary,Compound,Push,Stand with feet shoulder width or slightly wider on platform between very low and close pulley cables. Squat down with knees slightly beyond foot and shoulder above feet. Grasp stirrups to each side with arms straight.,"Keeping chest high and back straight, raise stirrups by extending knees and hips until legs are straight. Squat down by bending hips back while allowing knees to bend forward slightly, keeping back straight and knees pointed same direction as feet. Squat down until thighs are just past parallel to floor. Return and repeat.","Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ","Erector Spinae, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, ","Rectus Abdominis, Obliques, ","Hamstrings, Gastrocnemius, ",Hips,4,"Quadriceps, Gluteus Maximus, Adductors",
Standing Hip Extension,Cable,No,Auxiliary,Isolated,Push,"Attach ankle cuff to low pulley. With cuff on one ankle, grasp ballet bar with both hands and step back with other foot. Elbows remain straight. Attached leg is straight and foot is slightly off floor.",Pull cable attachment back by extending hip. Return leg to original position. Repeat. Continue with opposite leg.,"Gluteus Maximus,","Hamstrings, ","Erector Spinae, Obliques, Quadratus Lumborum, Gluteus Medius, Gluteus Minimus, ","Rectus Abdominis, ",,Hips,2,"Gluteus Maximus, Hamstrings",
Standing Hip Extension:  Bent-over,Cable,Yes,Auxiliary,Isolated,Push,"Attach ankle cuff to low pulley. With cuff on one ankle, grasp ballet bar with both hands and step far back with other foot. Arms remain extended to support body leaning forward. Leg with ankle cuff attached in slightly bent with foot off floor.",Pull cable attachment back by extending hip. Return leg to original position and repeat. Continue with opposite leg.,"Gluteus Maximus,","Hamstrings, ","Obliques, Erector Spinae, Quadratus Lumborum, Gluteus Medius, Gluteus Minimus, ",,,Hips,2,"Gluteus Maximus, Hamstrings",354
Step-up,Cable,No,Basic or Auxiliary,Compound,Push,Stand behind elevated platform and low and close pulley cables to sides. Grasp stirrups at each side of platform. Stand upright with arms straight down at sides.,Place foot of first leg on elevated platform. Stand on elevated platform by extending hip and knee of first leg and place foot of second leg on bench. Step down with second leg by flexing hip and knee of first leg. Return to original standing position by placing foot of first leg to lower position. Repeat first step with opposite leg alternating first steps between legs.,"Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, Gastrocnemius (Second Leg), ","Erector Spinae, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ","Rectus Abdominis, Obliques, ","Hamstrings, Gastrocnemius (First Leg), ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",
Stiff-leg Deadlift,Cable,No,Basic or Auxiliary,Compound,Pull,Stand on elevated platform between two very low pulleys with shoulder width or narrower stance. Squat down and grasp stirrup attachments to each side. Stand upright with arms straight down to sides.,"Bow forward by bending hips. Bend knees slightly during descent and keep waist straight, flexing low back at bottom. With knees slightly bent, raise torso by extending at waist, then hips, gradually extending knees until standing upright. Pull shoulders back slightly if rounded. Repeat.","Gluteus Maximus,","Erector Spinae, Adductor Magnus, Hamstrings, ","Quadriceps, Trapezius, Middle, Rhomboids, Latissimus Dorsi, Trapezius, Upper, Levator Scapulae, Trapezius, Lower, ","Rectus Abdominis, Obliques, ",,Hips,4,"Erector Spinae, Hamstrings",
Stiff-leg Deadlift:  Straight-back,Cable,Yes,Auxiliary,Isolated,Pull,Stand between two very low pulleys with shoulder width or narrower stance. Squat down and grasp stirrup attachments to each side. Stand upright with arms straight down to sides.,"With back straight, bow forward by bending hips and bend knees slightly during descent. Raise torso by extending hips while gradually extending knees until standing upright. Pull shoulders back slightly if rounded. Repeat.","Gluteus Maximus,","Hamstrings, Adductor Magnus, ","Erector Spinae, Quadriceps, Trapezius, Middle, Rhomboids, Latissimus Dorsi, Trapezius, Upper, Levator Scapulae, Trapezius, Lower, ","Rectus Abdominis, Obliques, ",,Hips,4,"Erector Spinae, Hamstrings",357
Lunge,Dumbbell,No,Auxiliary,Compound,Push,Stand with dumbbells grasped to sides.,Lunge forward with first leg. Land on heel then forefoot. Lower body by flexing knee and hip of front leg until knee of rear leg is almost in contact with floor. Return to original standing position by forcibly extending hip and knee of forward leg. Repeat by alternating lunge with opposite leg.,"Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ","Erector Spinae, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Tibialis Anterior, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",,"Hamstrings, Gastrocnemius, ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",
Lunge:  Rear Lunge,Dumbbell,Yes,Auxiliary,Compound,Push,Stand with dumbbells grasped to sides.,Step back with one leg while bending supporting leg. Plant forefoot far back on floor. Lower body by flexing knee and hip of supporting leg until knee of rear leg is almost in contact with floor. Return to original standing position by extending hip and knee of forward supporting leg and return rear leg next to supporting leg. Repeat movement with opposite legs alternating between sides.,"Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ","Erector Spinae, Trapezius, Upper, Trapezius, Lower, Levator Scapulae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",,"Hamstrings, Gastrocnemius, ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",359
Split Squat,Dumbbell,No,Auxiliary,Compound,Push,Stand with dumbbells grasped to sides. Stand with feet far apart; one foot forward and other foot behind.,Squat down by flexing knee and hip of front leg. Allow heel of rear foot to rise up while knee of rear leg bends slightly until it almost makes contact with floor. Return to original standing position by extending hip and knee of forward leg. Repeat. Continue with opposite leg.,"Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ","Erector Spinae, Gluteus Medius, Gluteus Minimus, ",,"Hamstrings, Gastrocnemius, ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",
Squat,Dumbbell,No,Basic or Auxiliary,Compound,Push,Stand with dumbbells grasped to sides.,"Squat down by bending hips back while allowing knees to bend forward slightly, keeping back straight and knees pointed same direction as feet.   Descend until thighs are just past parallel to floor. Extend knees and hips until legs are straight. Return and repeat.","Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ","Erector Spinae, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Rhomboids, ","Rectus Abdominis, Obliques, ","Hamstrings, Gastrocnemius, ",Hips,4,"Quadriceps, Gluteus Maximus, Adductors",
Squat:  Front Squat,Dumbbell,Yes,Basic or Auxiliary,Compound,Push,Stand with dumbbells grasped to sides. Clean dumbbells up to shoulders so side of each dumbbell rests on top of each shoulder. Balance dumbbells on shoulder by holding on to dumbbells with elbows flaring outward. Position feet shoulder width or slightly narrower apart.,"Squat down by bending hips back while allowing knees to bend forward slightly, keeping back straight and knees pointed same direction as feet.   Descend until thighs are just past parallel to floor. Extend knees and hips until legs are straight. Return and repeat.","Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ","Erector Spinae, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, ","Rectus Abdominis, Obliques, ","Hamstrings, Gastrocnemius, ",Hips,4,"Quadriceps, Gluteus Maximus, Adductors",362
Step-up,Dumbbell,No,Basic or Auxiliary,Compound,Push,Stand with dumbbells grasped to sides facing side of bench.,"Place foot of first leg on bench. Stand on bench by extending hip and knee of first leg and place foot of second leg on bench. Step down with second leg by flexing hip and knee of first leg. Return to original standing position by placing foot of first leg to floor. Repeat first step with opposite leg, alternating first steps between legs.","Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, Gastrocnemius (Second Leg), ","Erector Spinae, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ","Rectus Abdominis, Obliques, ","Hamstrings, Gastrocnemius (First Leg), ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",
Step-up:  Step Down,Dumbbell,Yes,Auxiliary,Compound,Push,"Hold dumbbells in each hand down to sides and stand with one foot on bench. Position foot on bench to side, forward of straight knee.",Stand on bench by straightening leg and pushing body upward. Step down returning foot off of bench to floor and repeat. Continue with opposite position.,"Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, Gastrocnemius (Following Leg), ","Erector Spinae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ","Rectus Abdominis, ","Hamstrings, Gastrocnemius (Lead Leg), ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",364
Deadlift,Lever (plate loaded),No,Basic,Compound,Pull,Stand between lever handles to sides. Squat down with feet flat and grasp handles to sides.,"Lift lever by extending hips and knees to full extension. Pull shoulders back at top of lift if rounded. Return weight by bending hips back while allowing knees to bend forward slightly, keeping back straight and knees pointed same direction as feet. Repeat.","Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ","Erector Spinae, Trapezius, Middle, Trapezius, Upper, Levator Scapulae, Rhomboids, ","Rectus Abdominis, Obliques, ","Hamstrings, Gastrocnemius, ",Hips,5,"Erector Spinae, Trapezius, Quadriceps",
"Deadlift:  Stiff-leg Deadlift

Straight-back

",Lever (plate loaded),Yes,Basic or Auxiliary,Compound,Pull,Stand between lever handles with shoulder width or narrower stance. Squat down and grasp handles to each side. Stand upright with arms straight down to sides.,"Bow forward by bending hips. Bend knees slightly during descent and keep waist straight, flexing low back at bottom. With knees slightly bent, raise torso by extending at waist, then hips, gradually extending knees until standing upright. Pull shoulders back slightly if rounded. Repeat.","Gluteus Maximus,","Erector Spinae, Adductor Magnus, Hamstrings, ","Quadriceps, Trapezius, Middle, Rhomboids, Latissimus Dorsi, Trapezius, Upper, Levator Scapulae, Trapezius, Lower, ","Rectus Abdominis, Obliques, ",,Hips,4,"Erector Spinae, Hamstrings",366
Leg Presses,Lever (plate loaded),No,Basic,Compound,Push,Sit on machine with back on padded support. Place feet slightly high on platform. Extend hips and knees. Release dock lever and grasp handles to sides.,Flex hips and knees to lower lever until hips are completely flexed. Push platform by extending knees and hips. Repeat.,"Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ",,,"Hamstrings, Gastrocnemius, ",Hips,3,"Quadriceps, Gluteus Maximus, Adductors",
Leg Presses:  45° Leg Press,Lever (plate loaded),Yes,Basic,Compound,Push,Sit on machine with back on padded support. Place feet slightly high on platform. Extend hips and knees. Release dock lever and grasp handles to sides.,Flex hips and knees to lower lever until hips are completely flexed. Push platform by extending knees and hips. Repeat.,"Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ",,,"Hamstrings, Gastrocnemius, ",Hips,3,"Quadriceps, Gluteus Maximus, Adductors",368
Leg Presses:  Lying Leg Press,Lever (plate loaded),Yes,Basic,Compound,Push,Climb up steps to top of machine. Lie supine on horizontal padded platform with shoulders against pad. Place feet equally spaced and slightly high on platform. Grip handles above shoulder pads.,Push lever platform away by extending hips and knees until knees are straight. Return lever platform by flexing hips and knees until knees are just short of complete flexion or until hips are completely flexed. Repeat.,"Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ",,,,Hips,3,"Quadriceps, Gluteus Maximus, Adductors",368
Leg Presses:  Seated Leg Press,Lever (plate loaded),Yes,Basic,Compound,Push,Sit on machine with back on padded support. Place feet slightly high on platform. Grasp handles to sides.,Push platform(s) away by extending knees and hips until knees are fully extended. Return until hips are completely flexed. Repeat.,"Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ",,,"Hamstrings, Gastrocnemius, ",Hips,3,"Quadriceps, Gluteus Maximus, Adductors",368
Lying Hip Extension,Lever (plate loaded),No,Auxiliary,Isolated,Push,Lie on bench with knees legs over pads. Align hip joints with lever fulcrum. Strap hips down with belt. Grasp handles at each side.,Extend hips and knees until legs are straight. Return to original position by flexing hips and knees. Repeat.,"Gluteus Maximus,","Adductor Magnus, ","Erector Spinae, ","Rectus Abdominis, ","Hamstrings, ",Hips,2,"Gluteus Maximus, Hamstrings",
Reverse Hyper-extension,Lever (plate loaded),No,Auxiliary,Isolated,Push,"Place one leg in strap so it is positioned above ankle. Step up onto step built on side of apparatus with other foot. Lay torso and waist on bench and grasp handles. Place stepping foot inside of strap, just in front of leg already in strap. Position legs side by side. Feet should be above floor with legs hanging straight down.",Raise lever by extending hips as high as possible with legs nearly straight. Lower legs to original position. Repeat.,"Gluteus Maximus,","Hamstrings, ","Erector Spinae, ","Rectus Abdominis, Obliques, ",,Hips,3,"Erector Spinae, Gluteus Maximus, Hamstrings",
Single Leg Split Squat,Lever (plate loaded),No,Auxiliary,Compound,Push,Stand between lever handles to sides. Extend leg back and place top of foot on cross bar. Squat down and grasp handles to sides.,"With chest high, lift lever by extending hips and knees to full extension. Return until knee of rear leg is almost in contact with floor. Repeat. Continue with opposite leg.","Gluteus Maximus,","Quadriceps, Adductor Magnus, Soleus, ","Erector Spinae, Trapezius, Upper, Trapezius, Lower, Levator Scapulae, Gluteus Medius, Gluteus Minimus, ",,"Hamstrings, Gastrocnemius, ",Hips,4,"Quadriceps, Gluteus Maximus, Hamstrings",
